"","category_name","date","sale_liters"
"1","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","3"
"2","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","1.75"
"3","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","2.25"
"4","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","21"
"5","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","10.5"
"6","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","10.5"
"7","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","1"
"8","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","1.5"
"9","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","10.5"
"10","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","1.875"
"11","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","9"
"12","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","4.5"
"13","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","4.5"
"14","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","4.5"
"15","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","3.75"
"16","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.75"
"17","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","3.75"
"18","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.75"
"19","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","3.75"
"20","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","3.75"
"21","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","3.75"
"22","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","3.75"
"23","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.75"
"24","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.75"
"25","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.75"
"26","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","4.5"
"27","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","9"
"28","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","10.5"
"29","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","9"
"30","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","2.25"
"31","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.75"
"32","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","2.25"
"33","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","4.5"
"34","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","2.25"
"35","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","2.25"
"36","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","2.25"
"37","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","2.25"
"38","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","5.25"
"39","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","2.25"
"40","BOTTLED IN BOND BOURBON","2015-10-01T00:00:00.000","1.5"
"41","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","1.5"
"42","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","2"
"43","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","2.25"
"44","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","3"
"45","BOTTLED IN BOND BOURBON","2015-10-01T00:00:00.000","1.5"
"46","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","3"
"47","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","1.75"
"48","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","10.5"
"49","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","2.25"
"50","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.75"
"51","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","9"
"52","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","2.25"
"53","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","9"
"54","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","10.5"
"55","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","9"
"56","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","10.5"
"57","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","10.5"
"58","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","9"
"59","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","9"
"60","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","5.25"
"61","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","1.6"
"62","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","1.5"
"63","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.75"
"64","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.75"
"65","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.75"
"66","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","9"
"67","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.75"
"68","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.5"
"69","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","1.2"
"70","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","9"
"71","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","12"
"72","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.75"
"73","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","3"
"74","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","1.5"
"75","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.75"
"76","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","4.5"
"77","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","10.5"
"78","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","9"
"79","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","9"
"80","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","12"
"81","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","12"
"82","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","6"
"83","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","1.5"
"84","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","0.5"
"85","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","3.5"
"86","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","10.5"
"87","STRAIGHT BOURBON WHISKIES","2015-10-01T00:00:00.000","9"
