"","category_name","date","sale_liters"
"1","TEQUILA","2015-03-02T00:00:00.000","9"
"2","TEQUILA","2015-03-02T00:00:00.000","9"
"3","TEQUILA","2015-03-02T00:00:00.000","9"
"4","TEQUILA","2015-03-02T00:00:00.000","0.3"
"5","TEQUILA","2015-03-02T00:00:00.000","2.25"
"6","TEQUILA","2015-03-02T00:00:00.000","3"
"7","TEQUILA","2015-03-02T00:00:00.000","2.25"
"8","TEQUILA","2015-03-02T00:00:00.000","3"
"9","TEQUILA","2015-03-02T00:00:00.000","3"
"10","TEQUILA","2015-03-02T00:00:00.000","6"
"11","TEQUILA","2015-03-02T00:00:00.000","10.5"
"12","TEQUILA","2015-03-02T00:00:00.000","9"
"13","TEQUILA","2015-03-02T00:00:00.000","12"
"14","TEQUILA","2015-03-02T00:00:00.000","0.75"
"15","TEQUILA","2015-03-02T00:00:00.000","1.5"
"16","TEQUILA","2015-03-02T00:00:00.000","1.2"
"17","TEQUILA","2015-03-02T00:00:00.000","1.125"
"18","TEQUILA","2015-03-02T00:00:00.000","9"
"19","TEQUILA","2015-03-02T00:00:00.000","4.5"
"20","TEQUILA","2015-03-02T00:00:00.000","12"
"21","TEQUILA","2015-03-02T00:00:00.000","12"
"22","TEQUILA","2015-03-02T00:00:00.000","1.5"
"23","TEQUILA","2015-03-02T00:00:00.000","1.5"
"24","TEQUILA","2015-03-02T00:00:00.000","2.25"
"25","TEQUILA","2015-03-02T00:00:00.000","2"
"26","TEQUILA","2015-03-02T00:00:00.000","1.5"
"27","TEQUILA","2015-03-02T00:00:00.000","1.5"
"28","TEQUILA","2015-03-02T00:00:00.000","12"
"29","TEQUILA","2015-03-02T00:00:00.000","12"
"30","TEQUILA","2015-03-02T00:00:00.000","9"
"31","TEQUILA","2015-03-02T00:00:00.000","12"
"32","TEQUILA","2015-03-02T00:00:00.000","1.5"
"33","TEQUILA","2015-03-02T00:00:00.000","1.5"
"34","TEQUILA","2015-03-02T00:00:00.000","9"
"35","TEQUILA","2015-03-02T00:00:00.000","9"
"36","TEQUILA","2015-03-02T00:00:00.000","4.5"
"37","TEQUILA","2015-03-02T00:00:00.000","0.5"
